crook -3.05 -0.40 -0.29 -3.05 -0.40 -0.29
customer 1.71 1.17 1.03 1.71 1.17 1.03
date 2.75 1.74 1.52 2.75 1.74 1.52
daughter-in-law 1.17 -0.03 0.27 1.17 -0.03 0.27
daughter 2.10 0.55 1.20 2.10 0.55 1.20
deadbeat_dad -2.89 -1.99 -2.15 -2.89 -1.99 -2.15
defendant -0.13 -0.57 -0.25 -0.13 -0.57 -0.25
defense_attorney 0.90 1.74 1.36 0.90 1.74 1.36
delinquent -1.84 -0.62 0.66 -1.84 -0.62 0.66
demagogue -0.50 0.63 0.28 -0.50 0.63 0.28
detective 1.21 1.55 0.17 1.21 1.55 0.17
devil_worshiper -2.27 -1.59 -0.24 -2.27 -1.59 -0.24
devil -3.01 1.54 1.07 -3.01 1.54 1.07
disciplinarian 0.18 1.74 0.94 0.18 1.74 0.94
district_attorney 0.88 1.75 1.13 0.88 1.75 1.13
divorce_lawyer -0.60 1.60 1.07 -0.60 1.60 1.07
divorce -1.73 0.30 -0.09 -1.73 0.30 -0.09
divorcee -0.70 -0.45 -0.02 -0.70 -0.45 -0.02
do-nothing -1.89 -2.13 -2.11 -1.89 -2.13 -2.11
doctor 2.23 1.51 0.59 2.23 1.51 0.59
dropout -1.91 -2.20 -1.73 -1.91 -2.20 -1.73
drunk -0.89 -1.34 0.79 -0.89 -1.34 0.79
dummy -0.75 -1.62 -1.38 -0.75 -1.62 -1.38
dyke 0.18 0.51 0.42 0.18 0.51 0.42
egghead -0.20 -0.34 -0.62 -0.20 -0.34 -0.62
elder 1.63 0.40 -0.96 1.63 0.40 -0.96
employee 1.52 0.27 0.75 1.52 0.27 0.75
employer 1.37 1.94 0.92 1.37 1.94 0.92
enemy -2.29 0.65 0.56 -2.29 0.65 0.56
entrepreneur 1.44 1.82 1.78 1.44 1.82 1.78
evangelist 0.38 0.47 0.94 0.38 0.47 0.94
ex-boyfriend -1.07 -0.86 -0.19 -1.07 -0.86 -0.19
ex-girlfriend -1.03 -0.29 0.46 -1.03 -0.29 0.46
ex-husband -1.30 -0.40 -0.58 -1.30 -0.40 -0.58
ex-wife -1.23 0.28 0.16 -1.23 0.28 0.16
executioner -2.18 2.15 -0.81 -2.18 2.15 -0.81
executive 1.32 2.34 1.53 1.32 2.34 1.53
extrovert 1.07 1.25 2.43 1.07 1.25 2.43
failure -1.65 -0.83 -0.86 -1.65 -0.83 -0.86
family_man 2.65 1.98 0.75 2.65 1.98 0.75
fanatic 0.21 0.29 2.01 0.21 0.29 2.01
father_in_law 0.94 1.21 0.42 0.94 1.21 0.42
father 2.71 2.71 1.15 2.71 2.71 1.15
FBI_agent 1.61 2.43 0.87 1.61 2.43 0.87
felon -2.69 -0.35 0.54 -2.69 -0.35 0.54
female 2.09 0.61 0.57 2.09 0.61 0.57
feminist -0.18 0.71 1.60 -0.18 0.71 1.60
fiance 2.71 1.95 1.44 2.71 1.95 1.44
fiancee 2.38 1.47 1.05 2.38 1.47 1.05
firstborn 1.88 1.63 1.41 1.88 1.63 1.41
flight_attendant 1.36 -0.20 0.60 1.36 -0.20 0.60
flirt 0.95 1.18 1.72 0.95 1.18 1.72
flunky -1.44 -1.36 -1.02 -1.44 -1.36 -1.02
foe -1.60 0.24 0.04 -1.60 0.24 0.04
follower -0.74 -1.63 -1.80 -0.74 -1.63 -1.80
foreman 0.48 1.36 0.97 0.48 1.36 0.97
foster_child 0.54 -0.94 -0.37 0.54 -0.94 -0.37
foster_father 1.40 1.32 0.39 1.40 1.32 0.39
foster_mother 1.74 1.08 0.21 1.74 1.08 0.21
freeloader -1.89 -1.43 -0.37 -1.89 -1.43 -0.37
friend 3.13 2.20 1.67 3.13 2.20 1.67
gangster -1.72 1.14 1.37 -1.72 1.14 1.37
gay 0.26 0.04 0.37 0.26 0.04 0.37
genius 2.03 1.98 -0.12 2.03 1.98 -0.12
gentleman 2.82 1.71 0.33 2.82 1.71 0.33
gigolo -1.22 -0.08 1.08 -1.22 -0.08 1.08
girl_Friday 1.65 1.47 1.79 1.65 1.47 1.79
girl 2.23 0.83 1.04 2.23 0.83 1.04
girlfriend 2.46 1.62 1.27 2.46 1.62 1.27
God 2.93 3.29 1.06 2.93 3.29 1.06
goof-off -0.60 -0.79 1.45 -0.60 -0.79 1.45
gossip -1.69 0.21 1.08 -1.69 0.21 1.08
graduate_student 1.45 1.20 0.48 1.45 1.20 0.48
grandchild 1.86 0.20 1.20 1.86 0.20 1.20
granddaughter 2.20 0.52 0.85 2.20 0.52 0.85
grandfather 2.46 1.57 -0.20 2.46 1.57 -0.20
grandmother 3.02 1.16 -0.20 3.02 1.16 -0.20
grandparent 2.85 1.61 -0.81 2.85 1.61 -0.81
grandson 2.04 0.04 1.42 2.04 0.04 1.42
great_grandfather 2.81 1.68 -0.95 2.81 1.68 -0.95
great_grandmother 2.50 0.57 -1.04 2.50 0.57 -1.04
grind -0.39 0.26 0.66 -0.39 0.26 0.66
grouch -1.84 -0.77 -0.74 -1.84 -0.77 -0.74
grownup 1.48 1.81 0.54 1.48 1.81 0.54
guest 1.45 -0.04 0.10 1.45 -0.04 0.10
gun_moll -0.69 0.24 0.42 -0.69 0.24 0.42
gunman -2.55 1.54 1.06 -2.55 1.54 1.06
guy 1.21 1.70 1.20 1.21 1.70 1.20
gynecologist 0.82 1.06 -0.53 0.82 1.06 -0.53
half-wit -0.83 -1.09 -0.69 -0.83 -1.09 -0.69
half_brother 0.51 0.13 0.56 0.51 0.13 0.56
half_sister 0.89 0.29 0.35 0.89 0.29 0.35
handicapped_person 0.79 -0.28 -0.93 0.79 -0.28 -0.93
handyman 1.78 1.11 0.57 1.78 1.11 0.57
has-been -0.91 -1.63 -1.28 -0.91 -1.63 -1.28
hatemonger -1.99 -0.31 0.31 -1.99 -0.31 0.31
head_nurse 1.67 1.45 1.33 1.67 1.45 1.33
healer 2.66 2.59 0.27 2.66 2.59 0.27
helper 2.64 1.62 0.60 2.64 1.62 0.60
hero 2.84 2.58 2.22 2.84 2.58 2.22
